SA4_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
101,41,288,4,327,5315,849,6492,279,212,5,502,4286,553,5345,3259,338,80,3683,6175,1183,11043,6030,294,204,6530,4731,1240,12503,3960,549,89,4594,9460,1442,15491,786,1234,22,2041,12801,1399,16249,140,1244,0,1391,10663,1453,13507,20,261,0,280,5150,991,6426,13,17,0,24,1542,401,1966,14531,4432,410,19370,60131,9516,89016,96,503,7,604,4839,724,6167,671,370,34,1081,3519,422,5022,5068,550,295,5907,4489,891,11293,7413,450,397,8262,3775,880,12921,3591,1332,146,5071,9758,1184,16013,283,2917,24,3226,11985,1272,16485,87,1991,11,2089,9587,1369,13050,27,298,3,327,5292,1201,6822,8,22,0,35,2453,807,3295,17247,8434,914,26594,55707,8759,91060,136,793,10,933,10150,1572,12659,954,583,40,1579,7813,980,10364,8330,882,377,9587,10669,2079,22338,13442,745,607,14793,8509,2115,25417,7557,1877,237,9664,19217,2624,31504,1069,4155,45,5271,24790,2674,32731,224,3239,15,3475,20254,2821,26553,50,561,5,609,10446,2194,13249,21,33,3,59
102,42,509,8,558,8713,847,10117,434,319,15,764,7885,621,9267,5402,596,166,6159,9970,1116,17244,10314,447,378,11134,6742,1165,19032,5963,839,180,6987,12718,1348,21054,1036,2212,32,3282,15401,1379,20057,191,2291,17,2490,13242,1519,17251,37,460,3,497,7933,1282,9718,9,25,0,36,3056,778,3866,23422,7692,787,31907,85647,10050,127602,104,847,8,961,8056,793,9808,1012,694,60,1762,6580,567,8908,8374,930,497,9803,7274,959,18037,12771,740,789,14303,4968,1069,20343,5811,2053,314,8177,13108,1288,22575,483,5298,53,5831,15109,1368,22308,118,3674,15,3806,13796,1746,19339,26,606,3,639,9477,1864,11976,15,41,0,48,4847,1510,6407,28713,14871,1742,45329,83216,11166,139707,146,1357,15,1524,16765,1635,19930,1442,1009,70,2523,14462,1182,18174,13778,1522,661,15961,17245,2072,35278,23085,1184,1168,25432,11707,2234,39376,11776,2896,497,15166,25824,2639,43630,1518,7504,83,9112,30507,2745,42364,305,5958,33,6297,27039,3259,36591,61,1068,6,1132,17414,3146,21691,23,67,0,86
103,50,317,3,366,5409,914,6692,405,251,15,674,4441,853,5972,3911,408,109,4429,5625,1526,11580,5862,278,183,6323,3976,1307,11614,3230,590,98,3919,7964,1478,13358,607,1279,9,1895,10149,1400,13438,102,1078,12,1193,8714,1405,11313,27,209,3,235,4622,948,5812,20,11,0,34,1429,368,1824,14214,4418,436,19074,52328,10209,81605,111,558,5,673,4836,884,6398,898,474,58,1430,3631,529,5590,5737,623,366,6731,3899,889,11515,7075,471,385,7929,3164,947,12040,3014,1465,138,4618,7858,1180,13652,245,2849,22,3111,9027,1188,13329,91,1716,8,1813,8049,1305,11170,20,278,4,302,5212,1183,6696,18,28,0,49,2605,594,3247,17211,8455,988,26657,48287,8702,83644,170,872,5,1043,10249,1797,13093,1305,730,75,2109,8071,1384,11564,9652,1029,477,11155,9525,2423,23097,12938,747,573,14253,7143,2252,23652,6243,2053,240,8542,15818,2652,27016,851,4124,35,5007,19175,2592,26773,193,2794,22,3007,16768,2711,22483,49,490,4,538,9837,2126,12507,32,45,0,80
104,20,212,3,232,3417,500,4155,209,141,3,354,2491,323,3173,2038,225,66,2322,3276,622,6218,3454,172,132,3759,2628,603,6994,2159,354,78,2592,5201,735,8529,514,825,31,1368,8099,934,10403,85,738,5,822,7108,869,8799,20,154,4,185,3676,697,4559,6,11,0,15,1192,320,1528,8506,2834,314,11648,37099,5605,54349,49,328,4,380,3036,447,3863,478,251,15,747,1982,234,2963,3126,343,217,3692,2366,485,6535,4530,297,277,5104,2074,514,7695,2181,865,116,3160,5765,716,9637,203,1912,24,2145,7925,813,10882,50,1160,6,1218,6753,857,8834,14,199,0,211,4032,894,5139,7,13,0,21,1916,586,2526,10646,5371,668,16686,35844,5547,58077,65,541,11,612,6453,952,8016,687,398,18,1102,4471,559,6135,5167,569,284,6016,5633,1103,12753,7985,467,409,8858,4707,1124,14690,4340,1219,196,5752,10967,1446,18165,722,2737,51,3514,16025,1744,21286,136,1900,13,2044,13860,1724,17629,32,353,4,393,7712,1593,9702,14,21,0,37
105,20,140,3,159,2677,499,3333,282,146,8,431,2346,492,3277,2040,201,55,2294,3497,1031,6823,2880,141,85,3102,2313,801,6213,1516,321,44,1876,4603,891,7369,283,654,5,943,5884,891,7720,45,469,0,517,4740,800,6055,9,101,0,113,2473,510,3100,8,6,0,14,815,205,1033,7080,2175,198,9451,29348,6118,44921,67,273,6,351,2387,434,3171,623,248,23,894,1950,334,3184,3214,394,172,3785,2676,726,7181,3436,302,199,3938,1880,634,6444,1423,856,67,2342,4432,762,7539,157,1462,8,1629,5155,801,7581,34,749,0,783,4249,733,5769,7,157,4,170,2842,636,3652,7,13,0,23,1393,300,1708,8978,4448,482,13913,26960,5351,46226,90,414,9,508,5063,933,6502,907,387,35,1332,4295,827,6453,5257,590,231,6075,6179,1749,14006,6316,444,285,7038,4187,1428,12659,2935,1173,110,4223,9039,1648,14907,438,2122,11,2572,11040,1687,15305,75,1215,0,1298,8988,1538,11821,22,265,4,283,5312,1145,6744,17,20,0,33
106,55,401,5,460,7123,836,8419,522,282,14,822,6110,722,7650,5591,513,188,6289,7673,1566,15527,8497,415,253,9167,5500,1467,16132,4381,790,124,5298,10351,1436,17085,683,2011,28,2718,12471,1368,16557,130,1647,10,1781,10457,1382,13615,33,278,6,311,5156,952,6416,11,16,0,24,1517,336,1877,19897,6348,622,26868,66352,10055,103276,132,773,8,917,6318,755,7993,1225,618,59,1899,5054,482,7437,8147,797,509,9448,5529,1100,16078,9984,633,565,11184,4135,1023,16340,3850,2121,187,6153,10351,1191,17691,285,4309,29,4630,11143,1245,17015,78,2392,16,2487,9808,1410,13703,29,293,3,333,5803,1129,7261,19,16,0,33,2698,612,3341,23750,11955,1377,37089,60842,8950,106875,184,1179,13,1378,13440,1592,16410,1745,902,75,2716,11165,1205,15088,13739,1309,695,15737,13197,2666,31603,18485,1052,815,20356,9633,2490,32481,8229,2910,312,11451,20708,2623,34777,970,6322,55,7342,23613,2615,33575,210,4038,20,4267,20264,2790,27320,60,570,4,639,10963,2079,13680,26,35,0,57
107,50,437,3,491,8541,690,9720,328,363,13,711,9511,643,10863,4804,484,139,5425,11321,1124,17870,9904,418,300,10627,6375,1019,18022,5419,680,145,6254,11503,1145,18897,901,2191,40,3135,13266,1117,17511,159,2448,9,2621,9830,1126,13576,39,523,3,558,6205,941,7707,5,43,0,48,2231,442,2721,21615,7594,660,29867,78774,8255,116898,100,756,13,870,7750,644,9264,734,673,40,1449,7966,575,9989,7448,1000,450,8896,8168,957,18027,11755,707,699,13162,4768,842,18770,4984,1908,271,7162,11459,1007,19629,448,4978,49,5473,12164,1087,18721,98,3479,18,3596,9584,1281,14464,33,570,3,608,7506,1238,9355,7,49,0,53,3752,804,4612,25612,14119,1538,41269,73125,8434,122829,147,1198,19,1361,16286,1333,18979,1066,1031,53,2158,17483,1213,20855,12247,1487,584,14323,19488,2086,35895,21664,1127,1001,23789,11147,1861,36792,10405,2586,420,13414,22958,2152,38525,1354,7169,93,8607,25424,2203,36239,256,5934,30,6224,19414,2412,28043,71,1097,6,1172,13714,2180,17066,17,90,0,105
108,45,256,3,308,4891,797,5993,335,182,5,528,3352,455,4327,2757,281,93,3135,4290,873,8293,4902,251,159,5316,3747,826,9892,3142,530,85,3760,8126,1154,13038,645,1336,27,2005,12584,1361,15954,130,1230,8,1371,13311,1646,16324,19,224,0,246,7183,1283,8711,9,19,0,25,2371,629,3030,11988,4320,384,16694,59850,9019,85557,99,462,6,566,4452,686,5706,767,311,34,1105,2758,329,4197,4510,469,264,5245,3073,653,8973,6430,399,312,7148,2968,703,10824,3041,1355,134,4535,8625,1032,14187,299,2915,28,3239,12693,1235,17167,67,1851,13,1931,13016,1671,16619,23,252,3,281,7686,1575,9547,3,23,0,32,3664,1025,4718,15242,8040,802,24078,58939,8917,91932,141,723,14,878,9341,1483,11701,1104,489,38,1631,6108,786,8522,7273,750,358,8377,7362,1522,17264,11334,654,477,12468,6718,1529,20710,6183,1890,224,8292,16750,2188,27232,943,4257,53,5249,25273,2596,33119,196,3079,23,3298,26327,3316,32942,45,479,3,529,14872,2859,18262,18,38,0,55
109,35,152,0,188,2865,464,3514,172,137,5,312,2543,333,3184,1981,174,61,2217,3284,557,6053,3228,153,79,3452,2204,540,6199,1901,303,53,2257,4367,641,7264,339,704,11,1060,6251,775,8087,62,604,4,668,5419,829,6909,9,124,0,132,2888,633,3652,4,9,0,13,965,286,1264,7724,2353,211,10290,30785,5059,46131,51,307,6,363,2651,370,3393,386,267,20,674,2161,297,3128,2905,351,183,3437,2387,536,6358,3934,261,211,4403,1719,512,6635,1738,741,82,2565,4421,593,7578,160,1646,14,1816,5676,741,8236,46,1023,7,1074,4945,793,6811,17,146,0,166,3173,802,4140,6,19,0,26,1522,393,1939,9232,4766,515,14523,28657,5046,48220,84,460,6,549,5515,839,6902,558,402,25,980,4705,629,6312,4882,529,241,5649,5674,1093,12415,7155,411,286,7855,3929,1058,12838,3644,1048,135,4818,8790,1233,14843,503,2350,27,2878,11929,1522,16327,100,1627,7,1737,10362,1623,13722,24,269,3,298,6052,1436,7784,9,26,0,38
110,43,236,5,281,4802,908,5990,359,201,12,573,4136,522,5234,3250,299,82,3628,5175,1045,9850,4797,230,143,5178,3598,1032,9806,2715,484,70,3273,7051,1122,11444,494,1015,20,1527,9332,1294,12152,99,854,6,956,7754,1280,9980,16,176,0,199,4175,859,5229,7,14,0,22,1165,284,1470,11787,3508,337,15627,47184,8342,71154,134,470,8,611,4253,741,5599,865,394,45,1307,3446,523,5270,4911,488,305,5707,3770,889,10370,5884,429,293,6605,2970,879,10454,2462,1174,129,3760,7130,1068,11957,239,2312,23,2578,8529,1174,12279,91,1363,8,1462,7319,1214,9993,30,242,0,270,4697,1088,6054,16,32,0,48,2135,594,2780,14626,6912,812,22353,44246,8170,74766,175,703,13,887,9056,1649,11589,1228,603,56,1876,7586,1048,10511,8159,783,393,9341,8947,1932,20212,10684,663,434,11780,6569,1914,20263,5175,1658,200,7035,14180,2193,23405,739,3324,36,4099,17863,2474,24436,187,2212,15,2416,15066,2492,19976,46,422,3,469,8871,1941,11283,23,41,0,68
