SA4_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
101,68,884,2800,2675,3255,2952,1445,390,144,14616,20,390,2017,2079,2358,1993,707,165,75,9811,7,156,1502,2003,2228,1707,487,110,42,8241,3,56,850,1471,1650,1201,308,60,33,5635,11,38,988,2374,2836,1611,420,124,38,8446,11,28,243,886,1403,925,323,119,40,3993,1652,1023,2203,2278,2773,2883,2885,2144,1419,19257,12659,10364,22338,25417,31504,32731,26553,13249,5265,180076
102,61,1227,4570,4339,4746,4071,1688,537,252,21490,18,448,3119,3265,3295,2493,794,190,91,13717,7,201,2377,2904,3050,2129,575,147,58,11450,3,62,1284,2273,2357,1564,324,83,44,7987,3,43,1285,3175,3192,1943,438,132,36,10253,24,50,351,1256,1577,1071,355,167,82,4942,1727,1289,2309,2482,2910,2997,3304,3103,2553,22674,19930,18174,35278,39376,43630,42364,36591,21691,10278,267307
103,44,841,2602,2339,2643,2332,1042,381,116,12327,13,372,1794,1668,1859,1499,475,138,33,7858,8,189,1357,1588,1645,1351,319,98,31,6583,3,88,806,1296,1354,959,230,70,23,4833,0,79,1208,1843,1915,1174,253,53,25,6542,16,28,327,729,863,616,284,103,38,3003,1863,1464,2530,2456,2826,2723,2879,2050,1008,19799,13093,11564,23097,23652,27016,26773,22483,12507,5075,165251
104,27,307,1212,1459,1787,1601,740,233,115,7489,6,137,812,996,1106,930,357,89,27,4456,4,50,536,781,931,798,201,51,22,3382,0,16,302,608,699,610,112,29,18,2384,0,15,304,711,795,580,153,48,24,2629,3,18,121,304,340,285,140,63,19,1301,994,594,1171,1238,1538,1815,1733,1482,1034,11597,8016,6135,12753,14690,18165,21286,17629,9702,4052,112427
105,33,490,1536,1222,1500,1256,517,159,57,6766,13,201,1053,870,942,763,212,56,34,4141,8,113,803,759,907,640,161,35,12,3444,0,62,524,663,660,559,120,31,8,2630,3,47,602,793,893,664,130,30,10,3173,12,24,167,317,363,309,125,64,29,1412,1007,902,1872,1535,1782,1831,1703,1239,701,12579,6502,6453,14006,12659,14907,15305,11821,6744,2741,91150
106,98,1143,3637,3221,3452,2749,1169,324,122,15921,30,469,2429,2347,2407,1783,553,113,38,10170,8,242,1903,2183,2206,1599,367,80,25,8608,0,138,1270,1685,1724,1182,230,47,17,6292,3,126,1886,3066,3015,1831,309,73,33,10335,12,43,483,1177,1269,841,327,100,43,4284,1690,1316,2896,2679,2851,2777,2858,2121,1178,20361,16410,15088,31603,32481,34777,33575,27320,13680,5219,210150
107,52,1322,4394,3851,3913,3209,1277,433,131,18579,18,583,3362,2921,2902,2150,642,137,47,12760,10,263,2604,2846,2847,1980,404,106,29,11089,0,89,1534,2373,2352,1618,257,65,17,8317,12,77,1761,3669,3485,2081,361,94,28,11568,25,49,436,1497,1607,1032,302,106,27,5086,1418,1321,2314,2087,2346,2449,2500,2128,1315,17869,18979,20855,35895,36792,38525,36239,28043,17066,7332,239730
108,28,434,1720,2073,2505,2394,1311,489,203,11146,12,186,1071,1355,1549,1377,590,159,50,6357,6,59,699,1023,1335,1071,336,76,44,4650,0,29,381,830,1058,828,186,55,27,3388,0,13,398,952,1063,879,258,84,37,3686,11,29,153,410,539,506,262,110,51,2072,1550,841,1650,1721,2359,2841,3429,2783,2150,19308,11701,8522,17264,20710,27232,33119,32942,18262,7749,177488
109,27,471,1589,1531,1626,1529,602,210,75,7664,3,172,1025,1060,1138,967,287,94,21,4762,3,55,699,849,976,720,178,39,15,3527,5,16,328,603,683,503,119,28,9,2305,4,15,313,719,800,576,153,46,18,2637,8,15,113,295,382,368,162,58,25,1430,884,694,1195,1143,1341,1678,1712,1413,764,10834,6902,6312,12415,12838,14843,16327,13722,7784,3208,94353
110,51,641,2324,2158,2385,2190,929,332,106,11116,16,261,1475,1351,1472,1254,444,125,35,6432,11,120,999,1205,1315,1015,309,70,34,5077,7,60,585,890,992,745,217,41,37,3568,0,45,691,1176,1316,889,256,93,20,4492,21,22,222,474,623,538,207,111,36,2251,1696,1144,2038,2034,2390,2670,2502,1868,939,17277,11589,10511,20212,20263,23405,24436,19976,11283,4248,145922
