SA4_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
101,2092,1303,5265,35147,49475,24518,18822,32455,19660,180076
102,4363,2462,10278,56414,70415,33906,27056,57006,22510,267307
103,2299,1062,5075,31161,41613,20801,18024,33323,20324,165251
104,1740,962,4052,20288,29523,15488,13018,22245,11858,112427
105,1319,559,2741,16114,22003,10650,9349,20802,12228,91150
106,2398,1077,5219,40368,54660,27759,24045,43091,20220,210150
107,3393,1350,7332,52625,63073,30086,22922,53196,17828,239730
108,3421,1816,7749,29888,44458,24987,21013,37674,19474,177488
109,1485,739,3208,18433,23972,11817,9448,19964,10718,94353
110,1848,962,4248,27241,36683,18389,15719,30172,17723,145922
111,3823,2578,9928,66145,81499,37986,27865,60884,21316,295691
112,3481,1949,8042,38410,52489,26518,20273,38575,22252,198521
113,1725,909,3951,24558,31225,15207,12738,26575,14549,124846
114,1881,1103,4588,22526,32210,17355,13936,23725,12920,122671
115,1677,823,4003,44280,49553,24162,18251,35319,9226,180785
116,2035,492,3575,56068,62022,26763,24287,73968,19213,262316
117,1532,776,3426,84219,66045,17420,10183,72585,34846,285297
118,2773,1238,6342,65949,55566,18870,12004,49576,24319,226282
119,6771,2084,13419,100207,100300,44449,38602,145999,34776,464334
120,3294,728,6153,63583,63432,24004,16192,60858,18999,247072
121,4261,1553,10139,89461,93828,39846,26524,60724,20008,330375
122,2838,1420,6945,53918,57932,24645,15787,36800,13934,203023
123,1371,863,3174,45148,51745,23273,19882,48751,15274,204085
124,2316,697,4571,54861,66450,29305,23705,51994,18469,244791
125,4009,1158,7583,74717,77273,34117,30906,112523,30384,359916
126,2411,634,4930,37386,39316,17665,12256,36707,7894,151220
127,3328,682,5545,64216,63310,28124,27291,112055,25580,320571
128,3060,680,5949,44323,49492,22186,15381,35384,9566,176329
197,5,0,10,23,36,19,40,163,93,374
199,41,26,78,1976,1606,620,412,3500,3428,11545
201,1745,730,3745,26068,33833,16499,13786,25890,12431,128519
202,1682,958,3961,25506,33640,16081,13216,23180,13157,124780
203,3403,1380,7326,50499,60554,28775,22150,45759,19379,227122
204,1975,1081,4590,27026,37091,18371,14869,27393,15040,139788
205,3155,1671,7251,41290,56667,29990,26060,44421,25167,223600
206,4394,1637,9372,161935,136593,39044,23149,110573,52998,524285
207,4967,1634,11110,78421,78687,35050,24009,66576,17608,300350
208,5781,2098,12538,87769,91909,37403,24013,66797,21959,329844
209,4248,1672,9057,92238,101162,44057,34646,97903,29504,399503
210,3289,1027,6650,60915,66502,29485,25963,82372,23356,288599
211,5200,1841,10639,100505,111720,50641,37120,83509,24551,408056
212,6779,2124,13311,135391,142668,62663,51460,169581,43348,605115
213,4431,1635,8698,126240,135957,56360,49497,156353,48081,572482
214,3523,1569,7772,52845,63482,29253,21745,49509,20449,237269
215,2142,1033,4819,22940,29778,15518,13231,26842,15052,123356
216,1669,828,3579,20372,25471,12590,10738,23986,12345,105507
217,1590,773,3529,19574,25721,13148,11052,20463,10717,100676
297,0,0,0,7,3,3,0,11,3,25
299,22,12,38,1281,954,324,278,1969,2020,6825
301,2038,1058,4703,42856,52052,23012,16200,34161,11446,179726
302,2181,1128,5195,42612,49288,19702,13786,32558,11518,169465
303,3183,881,6313,71713,75337,30247,21571,62779,17872,279522
304,1237,922,3605,38894,43538,18358,11997,24259,7999,145038
305,1274,755,3291,66162,59859,18752,11338,39442,19935,215485
306,1737,787,3722,38504,51271,22644,18361,38612,23141,192534
307,1242,593,2685,18377,24606,12628,12391,20494,11895,100396
308,1336,769,3161,34392,45505,21486,19427,32843,19476,173127
